84,que,1,1.5,2,2,0,12,3
84,pro,1,1,4,0,2,13,2
84,cel,1,2,2,1,1,14,1
84,lis,1,1,3,2,0,15,0
85,af,1,2,1,0,2,0,13
85,ri,1,1,3,1,1,1,12
85,cus,1,1,5,2,0,2,11
85,et,1,2,2,0,0,3,10
85,vas,1,2,1,0,1,4,9
85,tos,1,2,4,1,0,5,8
85,vol,1,2,4,0,1,6,7
85,vunt,1,2,5,1,0,7,6
85,ad,1,1.5,1,0,0,8,5
85,li,1,1,3,0,2,9,4
85,to,1,1,4,1,1,10,3
85,ra,1,2,1,2,0,11,2
85,fluc,1,2,5,0,1,12,1
85,tus,1,1,5,1,0,13,0
86,in,1,2,3,0,3,0,14
86,se,1,1,2,1,2,1,13
86,qui,1,1,3,2,1,2,12
86,tur,1,2.5,5,3,0,3,11
86,cla,1,1,1,0,2,4,10
86,mor,1,2,4,1,1,5,9
86,que,1,1,2,2,0,6,8
86,vi,1,1,3,0,1,7,7
86,rum,1,3.5,5,1,0,8,6
86,stri,1,1,3,0,2,9,5
86,dor,1,2,4,1,1,10,4
86,que,1,1,2,2,0,11,3
86,ru,1,1,5,0,2,12,2
86,den,1,2,2,1,1,13,1
86,tum,1,1,5,2,0,14,0
87,e,1,1,2,0,3,0,14
87,ri,1,1,3,1,2,1,13
87,pi,1,0,3,2,1,2,12
87,unt,1,3,5,3,0,3,11
87,su,1,1,5,0,2,4,10
87,bi,1,1,3,1,1,5,9
87,to,1,1,4,2,0,6,8
87,nu,1,1,5,0,1,7,7
87,bes,1,2,2,1,0,8,6
87,cae,2,1,7,0,2,9,5
87,lum,1,2,5,1,1,10,4
87,que,1,1,2,2,0,11,3
87,di,1,0,3,0,2,12,2
87,em,1,2,2,1,1,13,1
87,que,1,0,2,2,0,14,0
88,teuc,2,1.5,11,0,2,0,14
88,ro,1,1,4,1,1,1,13
88,rum,0,0,5,2,0,2,12
88,ex,1,2,2,0,0,3,11
88,o,1,1,4,0,2,4,10
88,cu,1,1,5,1,1,5,9
88,lis,1,2,3,2,0,6,8
88,pon,1,2,4,0,1,7,7
88,to,1,1,4,1,0,8,6
88,nox,1,2,4,0,0,9,5
88,in,1,2,3,0,2,10,4
88,cu,1,1,5,1,1,11,3
88,bat,1,1,1,2,0,12,2
88,at,1,1.5,1,0,1,13,1
88,ra,1,0,1,1,0,14,0
89,in,1,2,3,0,4,0,16
89,to,1,1,4,1,3,1,15
89,nu,1,0,5,2,2,2,14
89,e,1,1,2,3,1,3,13
89,re,1,1,2,4,0,4,12
89,po,1,1,4,0,1,5,11
89,li,0,0,3,1,0,6,10
89,et,1,2.5,2,0,0,7,9
89,creb,1,1.5,2,0,1,8,8
89,ris,1,2,3,1,0,9,7
89,mi,1,1,3,0,1,10,6
89,cat,1,1,1,1,0,11,5
89,ig,1,2,3,0,2,12,4
89,ni,1,1,3,1,1,13,3
89,bus,1,1,5,2,0,14,2
89,aet,2,1,7,0,1,15,1
89,her,1,1,2,1,0,16,0
90,prae,2,1,7,0,3,0,13
90,sen,1,2,2,1,2,1,12
90,tem,1,2,2,2,1,2,11
90,que,1,1,2,3,0,3,10
90,vi,1,1,3,0,1,4,9
90,ris,1,1,3,1,0,5,8
90,in,1,2,3,0,2,6,7
90,ten,1,2,2,1,1,7,6
90,tant,1,2,1,2,0,8,5
90,om,1,2,4,0,2,9,4
90,ni,1,0,3,1,1,10,3
90,a,1,1,1,2,0,11,2
90,mor,1,2,4,0,1,12,1
90,tem,1,1,2,1,0,13,0
91,ex,1,3,2,0,2,0,13
91,temp,1,2.5,2,1,1,1,12
91,lo,0,0,4,2,0,2,11
91,ae,2,1,7,0,2,3,10
91,ne,1,0,2,1,1,4,9
91,ae,2,1,7,2,0,5,8
91,sol,1,2,4,0,2,6,7
91,vun,1,2,5,1,1,7,6
91,tur,1,3,5,2,0,8,5
91,fri,1,1,3,0,2,9,4
91,go,1,1,4,1,1,10,3
91,re,1,1,2,2,0,11,2
91,memb,1,2.5,2,0,1,12,1
91,ra,1,0,1,1,0,13,0
92,in,1,2,3,0,2,0,14
92,ge,1,1,2,1,1,1,13
92,mit,1,1,3,2,0,2,12
92,et,1,2,2,0,0,3,11
92,dup,1,1.5,5,0,2,4,10
92,li,1,1,3,1,1,5,9
92,cis,1,2,3,2,0,6,8
92,ten,1,2,2,0,1,7,7
92,dens,1,2,2,1,0,8,6
92,ad,1,2,1,0,0,9,5
92,si,1,1,3,0,2,10,4
92,de,1,1,2,1,1,11,3
92,ra,1,1,1,2,0,12,2
92,pal,1,2,1,0,1,13,1
92,mas,1,1,1,1,0,14,0
93,ta,1,1,1,0,2,0,15
93,li,1,0,3,1,1,1,14
93,a,1,1,1,2,0,2,13
93,vo,1,1,4,0,1,3,12
93,ce,1,1,2,1,0,4,11
93,re,1,1,2,0,1,5,10
93,fert,1,2,2,1,0,6,9
93,o,1,1,4,0,0,7,8
93,ter,1,2,2,0,1,8,7
93,que,1,1,2,1,0,9,6
93,qua,1,1,1,0,2,10,5
93,ter,1,2,2,1,1,11,4
93,que,1,1,2,2,0,12,3
93,be,1,0,2,0,2,13,2
93,a,1,1,1,1,1,14,1
93,ti,1,0,3,2,0,15,0
94,quis,1,1,3,0,0,0,14
94,an,1,2,1,0,1,1,13
94,te,0,0,2,1,0,2,12
94,o,1,1,4,0,1,3,11
94,ra,1,1,1,1,0,4,10
94,pat,1,1.5,1,0,1,5,9
94,rum,1,2.5,5,1,0,6,8
94,tro,1,1,4,0,1,7,7
94,jae,2,1,7,1,0,8,6
94,sub,1,2,5,0,0,9,5
94,moe,2,1,8,0,2,10,4
94,ni,1,1,3,1,1,11,3
94,bus,1,1,5,2,0,12,2
94,al,1,2,1,0,1,13,1
94,tis,1,1,3,1,0,14,0
95,con,1,2,4,0,2,0,16
95,ti,1,1,3,1,1,1,15
95,git,1,1,3,2,0,2,14
95,op,1,2,4,0,3,3,13
95,pe,1,1,2,1,2,4,12
95,te,1,1,2,2,1,5,11
95,re,0,0,2,3,0,6,10
95,o,1,1,4,0,0,7,9
95,da,1,1,1,0,1,8,8
