jam,1,2,1,0,0,1,12
fur,1,2,5,0,2,2,11
ti,1,1,3,1,1,3,10
vum,1,2,5,2,0,4,9
di,1,1,3,0,1,5,8
do,1,1,4,1,0,6,7
me,1,1,2,0,3,7,6
di,1,1,3,1,2,8,5
ta,1,1,1,2,1,9,4
tur,1,1,5,3,0,10,3
a,1,1,1,0,2,11,2
mo,1,1,4,1,1,12,1
rem,1,1,2,2,0,13,0
con,1,2,4,0,3,0,14
ju,1,1,5,1,2,1,13
gi,1,0,3,2,1,2,12
um,1,2,5,3,0,3,11
vo,1,1,4,0,1,4,10
cat,1,1,1,1,0,5,9
hoc,1,2.5,4,0,0,6,8
prae,2,1,7,0,2,7,7
te,1,2,2,1,1,8,6
xit,1,2,3,2,0,9,5
no,1,1,4,0,2,10,4
mi,1,1,3,1,1,11,3
ne,1,1,2,2,0,12,2
cul,1,2,5,0,1,13,1
pam,1,1,1,1,0,14,0
ex,1,3,2,0,2,0,13
temp,1,2.5,2,1,1,1,12
lo,1,1,4,2,0,2,11
li,1,1,3,0,2,3,10
by,1,0,6,1,1,4,9
ae,2,1,7,2,0,5,8
mag,1,2,1,0,1,6,7
nas,1,1,1,1,0,7,6
it,1,2,3,0,0,8,5
fa,1,1,1,0,1,9,4
ma,1,1,1,1,0,10,3
per,1,1,2,0,0,11,2
ur,1,2,5,0,1,12,1
bes,1,1,2,1,0,13,0
fa,1,1,1,0,1,0,14
ma,1,1,1,1,0,1,13
ma,1,1,1,0,1,2,12
lum,1,2,5,1,0,3,11
qua,1,1,1,0,0,4,10
non,1,1,4,0,0,5,9
a,1,1,1,0,2,6,8
li,1,0,3,1,1,7,7
ud,1,2,5,2,0,8,6
ve,1,1,2,0,3,9,5
lo,1,1,4,1,2,10,4
ci,1,0,3,2,1,11,3
us,1,1,5,3,0,12,2
ul,1,2,5,0,1,13,1
lum,1,1,5,1,0,14,0
mo,1,1,4,0,4,0,14
bi,1,1,3,1,3,1,13
li,1,1,3,2,2,2,12
ta,1,1,1,3,1,3,11
te,1,1,2,4,0,4,10
vi,1,1,3,0,1,5,9
get,1,2,2,1,0,6,8
vi,1,1,3,0,2,7,7
ris,1,2,3,1,1,8,6
que,0,0,2,2,0,9,5
ad,1,2,1,0,2,10,4
qui,1,1,3,1,1,11,3
rit,1,1,3,2,0,12,2
eun,2,2,11,0,1,13,1
do,1,0,4,1,0,14,0
par,1,2,1,0,1,0,14
va,1,1,1,1,0,1,13
me,1,1,2,0,1,2,12
tu,1,1.5,5,1,0,3,11
pri,1,1,3,0,1,4,10
mo,1,1,4,1,0,5,9
mox,1,3,4,0,0,6,8
