1,11,2,0,2,0,0,0,0,0,0,2,0
2,11,0,2,2,0,0,0,0,0,0,2,0
3,11,2,2,2,0,0,0,0,0,0,0,0
4,11,0,2,0,0,0,2,0,0,0,2,0
5,11,0,2,2,0,0,2,0,0,0,2,0
6,10,0,2,2,0,0,2,0,0,2,2
7,11,2,0,2,0,0,0,0,0,0,0,0
8,11,2,0,0,0,0,2,0,2,0,2,0
9,11,2,2,2,0,0,0,0,2,0,0,0
10,11,0,0,0,0,0,0,0,0,0,0,0
11,11,2,0,2,0,0,0,0,0,0,2,0
12,13,2,2,0,0,0,0,0,0,0,2,0,2,0
13,12,2,0,2,0,2,0,2,0,2,0,0,0
14,12,0,2,2,0,0,0,2,0,2,0,2,0
15,12,2,0,2,0,0,0,0,0,2,0,2,0
16,11,2,2,2,0,0,2,0,2,0,0,0
17,11,0,0,2,0,0,2,0,2,0,2,2
18,11,2,0,2,0,0,0,0,0,0,2,0
19,11,0,0,0,0,0,2,0,0,0,0,0
20,11,2,0,2,0,0,0,0,0,0,2,0
