1,15,0,0,0,0,0,2,0,2,2,0,0,0,0,2,0
2,16,2,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0
3,15,0,0,2,0,0,2,0,2,2,0,2,0,0,0,0
4,15,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0
5,15,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0
6,15,2,0,2,0,0,2,0,0,0,0,2,0,0,2,0
7,15,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
8,15,2,2,0,0,0,2,0,2,0,0,0,0,0,2,0
9,15,0,0,2,0,0,2,0,2,2,0,2,0,0,2,0
10,15,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0
11,15,0,0,2,0,0,2,0,0,2,0,2,0,0,0,0
12,15,2,2,2,0,0,2,0,0,2,0,2,0,0,2,0
13,15,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0
14,15,2,2,2,0,0,2,0,0,2,2,0,0,0,2,0
15,15,2,0,2,0,0,2,0,0,0,0,0,0,0,2,0
16,15,2,2,2,0,0,2,0,2,0,0,2,0,0,0,0
17,15,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0
18,14,2,0,0,0,0,2,2,2,0,2,0,0,2,0
19,14,2,2,0,2,0,0,2,2,2,0,0,0,0,0
20,15,2,2,2,0,0,2,0,2,2,0,2,0,0,2,0
21,15,0,0,2,0,0,2,0,2,2,0,2,0,0,2,0
22,15,2,0,0,0,0,2,0,2,2,0,2,0,0,2,0
23,15,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0
24,15,0,0,2,0,0,2,0,2,2,0,0,0,0,2,0
25,15,2,0,0,0,0,2,0,0,0,0,2,0,0,2,0
26,15,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0
