1,11,0,2,0,0,0,2,0,0,0,0,0
2,11,0,2,2,0,0,0,0,0,0,0,0
3,11,2,2,2,0,0,2,0,2,0,0,2
4,11,2,0,2,0,0,2,0,2,0,2,0
5,11,0,2,0,0,0,2,0,0,0,0,0
6,11,2,0,2,0,0,2,0,2,0,2,0
7,11,2,0,0,0,0,0,0,0,0,0,0
8,11,2,0,2,0,0,0,0,2,0,2,0
9,11,2,2,2,0,0,2,0,2,0,2,0
10,11,2,2,0,0,0,2,0,2,0,2,0
11,11,2,2,2,0,0,2,0,2,0,2,0
12,11,2,2,2,0,0,2,0,2,0,0,0
13,11,2,2,2,0,0,2,0,0,0,2,0
14,11,2,2,0,0,0,2,0,2,0,2,0
15,11,0,2,0,0,0,2,0,2,0,2,0
16,12,0,2,0,0,0,0,0,2,0,0,2,2
17,11,0,2,0,0,0,2,0,0,0,0,0
18,11,0,2,2,0,0,2,0,2,0,2,0
19,11,2,0,2,0,0,2,0,2,0,2,0
20,11,2,2,2,0,0,2,0,0,0,2,0
21,11,2,0,2,0,0,2,0,2,0,2,0
22,11,2,2,0,0,0,2,0,2,0,0,0
23,11,2,2,0,0,0,2,0,0,0,2,0
24,11,0,2,2,0,0,2,0,2,0,0,0
25,11,2,2,2,0,0,0,0,2,0,2,0
26,11,2,2,2,0,0,2,0,2,0,0,0
27,10,0,2,0,0,2,0,0,0,2,2
28,11,2,2,2,0,0,2,0,2,0,0,0
29,11,0,2,0,0,0,0,0,2,0,0,0
30,11,2,2,0,0,0,2,0,0,0,0,0
31,11,0,0,2,0,0,2,0,0,0,2,0
32,11,0,2,2,0,0,2,0,0,0,0,0
33,11,2,2,2,0,0,2,0,2,0,0,0
34,11,2,2,2,0,0,2,0,0,0,2,0
